Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?
0x8448ea81a3609dcb74064fd93948047e528bbb6d81c0c6f46e2b097efa923043,2021-05-21,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-359132.83,ETH,1
0x05eb5ba5dd4470df1f28ae99fdad865f14934652f5f9b2334e8a3e686fe44946,2021-05-22,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,362829.947965,362137.95,USDC,1
0x05eb5ba5dd4470df1f28ae99fdad865f14934652f5f9b2334e8a3e686fe44946,2021-05-22,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-344191.21,ETH,1
0xda9b1ea415be2c52683807b15e0c41b97ff4160c0247cf674434bc3ff05343a6,2021-05-23,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,344796.154342,344727.11,USDC,1
0xda9b1ea415be2c52683807b15e0c41b97ff4160c0247cf674434bc3ff05343a6,2021-05-23,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-314402.29,ETH,1
0xc4e5ca0315d4749b3b3e1601eba67b57d66ed2db2e0eb20417fba54640883d59,2021-05-24,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-390710.54,ETH,1
0xc4e5ca0315d4749b3b3e1601eba67b57d66ed2db2e0eb20417fba54640883d59,2021-05-24,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,322666.092355,322766.17,USDC,1
0xa4fd6248bfd82cf5420785aabe719d052736bf7bf3dd622f5239b45a0aaf052c,2021-05-24,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-390710.54,ETH,1
0xa4fd6248bfd82cf5420785aabe719d052736bf7bf3dd622f5239b45a0aaf052c,2021-05-24,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,387548.502884,387668.71,USDC,1
0x96ecae9c1d223e3051723f471bf9134474414d195a93eb1f34cdd80bce612794,2021-05-25,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-400098.39,ETH,1
0x96ecae9c1d223e3051723f471bf9134474414d195a93eb1f34cdd80bce612794,2021-05-25,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,387350.906917,387047.8,USDC,1
0xb58620baddc12938a283a7f9e10c23496191bf5c174ac9a01d1da196b7a2ee21,2021-05-26,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-427202.45,ETH,1
0xb58620baddc12938a283a7f9e10c23496191bf5c174ac9a01d1da196b7a2ee21,2021-05-26,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,415895.066682,415770.04,USDC,1
0x1d1ec1c8933b8c1ea5a3c89721a914e335ab54c93773a7854f6c77f8dd6f484b,2021-05-27,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-409334.33,ETH,1
0x1d1ec1c8933b8c1ea5a3c89721a914e335ab54c93773a7854f6c77f8dd6f484b,2021-05-27,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,407549.772653,407604.09,USDC,1
0x7a9a0dc6d2d1888ee49f3699ba9ff77734a7be55cfc5f71453766ada2082fd22,2021-05-28,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-362559.79,ETH,1
0x7a9a0dc6d2d1888ee49f3699ba9ff77734a7be55cfc5f71453766ada2082fd22,2021-05-28,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,361368.629225,363410.83,USDC,1
0x3bdf0864054358fda385cc5f5c065b66df97b312e5c8cda803636ba4f9318173,2021-05-30,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-327034.64,ETH,1
0x3bdf0864054358fda385cc5f5c065b66df97b312e5c8cda803636ba4f9318173,2021-05-30,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,328412.472726,328555.31,USDC,1
0x56ca38cb59443ef2e13f43963979b1baa05d32edcc4205af199c59e722bf8529,2021-05-31,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-402768.1,ETH,1
0x08a6a78ca75e265184817604df4196c7c68ac531106983ef7612ba565d4b6c4e,2021-05-31,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,342371.486184,342963.31,USDC,1
0x08a6a78ca75e265184817604df4196c7c68ac531106983ef7612ba565d4b6c4e,2021-05-31,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-402768.1,ETH,1
0x56ca38cb59443ef2e13f43963979b1baa05d32edcc4205af199c59e722bf8529,2021-05-31,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,387003.158536,387672.13,USDC,1
0xc6c21ae73c7088e9004df8504f98c5cfd0aeb2548345f6ecf7fe35c3e648589e,2021-06-01,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,384180.881236,384446.54,USDC,1
0xc6c21ae73c7088e9004df8504f98c5cfd0aeb2548345f6ecf7fe35c3e648589e,2021-06-01,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-391516.12,ETH,1
0x2dfb4b69819cdf7e53fb6d5c57a57728e04f86237d4dc17b7a54646355b311ef,2021-06-03,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-427639.89,ETH,1
0x2dfb4b69819cdf7e53fb6d5c57a57728e04f86237d4dc17b7a54646355b311ef,2021-06-03,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,420200.163723,421361.26,USDC,1
0xeec2ff296b7914363419f0e386626009898f2ab2f0bb603ca5c63f7ceb2514c4,2021-06-03,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-427639.89,ETH,1
0xeec2ff296b7914363419f0e386626009898f2ab2f0bb603ca5c63f7ceb2514c4,2021-06-03,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,420437.252821,421599.01,USDC,1
0x4d5d1da342f67677be3fbc024c6307640b819f006af95ac4e6a80bcbb8f3fdff,2021-06-04,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-401908.57,ETH,1
0x4d5d1da342f67677be3fbc024c6307640b819f006af95ac4e6a80bcbb8f3fdff,2021-06-04,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,404241.085308,404367.23,USDC,1
0x4da74587b34e1f92bb1fe5f2ebbc648901ac1d9085a675dfb38040a852ef2dcf,2021-06-06,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-403816.8,ETH,1
0x4da74587b34e1f92bb1fe5f2ebbc648901ac1d9085a675dfb38040a852ef2dcf,2021-06-06,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,395685.194272,397036.46,USDC,1
0x3e6965d32e137a457cc1fd00c3dd2722083db4f46aa639c2e5de16327f64e829,2021-06-06,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-403816.8,ETH,1
0x3e6965d32e137a457cc1fd00c3dd2722083db4f46aa639c2e5de16327f64e829,2021-06-06,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,398164.680225,399524.42,USDC,1
0xd2480b573b7dca26a8e7ac5b96512932f3069add0227ce1a8a626f9fbe4cd230,2021-06-07,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-385817.58,ETH,1
0xd2480b573b7dca26a8e7ac5b96512932f3069add0227ce1a8a626f9fbe4cd230,2021-06-07,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,390577.492778,390339.18,USDC,1
0x660e34f0e6de867a2a1c388f85da2d7e11c35da5300c17a04bcb2bd3ae1e074e,2021-06-08,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,373616.644572,374462.65,USDC,1
0x660e34f0e6de867a2a1c388f85da2d7e11c35da5300c17a04bcb2bd3ae1e074e,2021-06-08,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-375659.86,ETH,1
0x615e03d5622db46819f3a8fc39c9f6b3064b6ac3fd3879b5f2d078bd14452829,2021-06-09,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-390168.55,ETH,1
0x615e03d5622db46819f3a8fc39c9f6b3064b6ac3fd3879b5f2d078bd14452829,2021-06-09,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,386031.073273,386687.59,USDC,1
0xb44034819efc5a53e931d3914eb923ef806e095910fe2a396590a802c17d097b,2021-06-10,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-78.0,-194085.89,ETH,1
0xb44034819efc5a53e931d3914eb923ef806e095910fe2a396590a802c17d097b,2021-06-10,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,193766.237869,193893.13,USDC,1
0x80f2b7ab6cca6148e91bcb64126026b141f07c2e2e07a41818670fa66bcb432e,2021-10-22,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x690f0581ececcf8389c223170778cd9d029606f2,ENS Labs,ENS Labs,-2163921.0,-2165069.51,USDC,1
0x39effaa3280ee43c84af8db7936d0bf982bc72ea2f50af30bdcd5461eff6cdb5,2021-11-29,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,-10318098.311236,-10302183.2,USDC,1
0x39effaa3280ee43c84af8db7936d0bf982bc72ea2f50af30bdcd5461eff6cdb5,2021-11-29,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,-4369.256902770583,-19436595.63940591,ETH,1
