Transaction Hash,Date,From,To,Value,DOT_USD,Symbol,Acquainted?
0xcf8b553398a13f2aaa30ffbd788842c1d9bee18fd1aa515736189eb159fdbd59,2023-02-13 00:00:00,Metagov,DAO Tooling,-80000.0,-80000.0,USDC,1
0x81c1a0f965aca6ef8f7032533ffb2cd6c6d4d834e3f65864fdc5930f90bc1042,2023-02-13 00:00:00,Metagov,Steward Compensation,-5500.0,-5500.0,USDC,1
0x81c1a0f965aca6ef8f7032533ffb2cd6c6d4d834e3f65864fdc5930f90bc1042,2023-02-13 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0x81c1a0f965aca6ef8f7032533ffb2cd6c6d4d834e3f65864fdc5930f90bc1042,2023-02-13 00:00:00,Metagov,Steward Compensation,-6667.0,-6667.0,USDC,1
0x81c1a0f965aca6ef8f7032533ffb2cd6c6d4d834e3f65864fdc5930f90bc1042,2023-02-13 00:00:00,Metagov,Steward Compensation,-6500.0,-6500.0,USDC,1
0x81c1a0f965aca6ef8f7032533ffb2cd6c6d4d834e3f65864fdc5930f90bc1042,2023-02-13 00:00:00,Metagov,Steward Compensation,-1600.0,-1600.0,USDC,1
0x81c1a0f965aca6ef8f7032533ffb2cd6c6d4d834e3f65864fdc5930f90bc1042,2023-02-13 00:00:00,Metagov,Steward Compensation,-4300.0,-4300.0,USDC,1
0xcf8b553398a13f2aaa30ffbd788842c1d9bee18fd1aa515736189eb159fdbd59,2023-02-13 16:43:47,Metagov,Governance,-30.0,-45191.1,ETH,1
0xcf8b553398a13f2aaa30ffbd788842c1d9bee18fd1aa515736189eb159fdbd59,2023-02-13 16:43:47,Metagov,DAO Tooling,-50.0,-75318.5,ETH,1
0x44d01ea5d6584c58c63eb8580819e7f3da50b5b5aeb64705d51007a58f2f9c6e,2023-02-25 00:00:00,Metagov,Sponsorship,-15000.0,-15000.0,USDC,1
0xa3e54b27be6b6ac79be70b8fc754969f81a4fa2845a7d59ced20d16794a32c1b,2023-02-25 00:00:00,Metagov,Steward Compensation,-6500.0,-6500.0,USDC,1
0xa3e54b27be6b6ac79be70b8fc754969f81a4fa2845a7d59ced20d16794a32c1b,2023-02-25 00:00:00,Metagov,Steward Compensation,-4300.0,-4300.0,USDC,1
0xa3e54b27be6b6ac79be70b8fc754969f81a4fa2845a7d59ced20d16794a32c1b,2023-02-25 00:00:00,Metagov,Steward Compensation,-6667.0,-6667.0,USDC,1
0xa3e54b27be6b6ac79be70b8fc754969f81a4fa2845a7d59ced20d16794a32c1b,2023-02-25 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0xa3e54b27be6b6ac79be70b8fc754969f81a4fa2845a7d59ced20d16794a32c1b,2023-02-25 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0xa3e54b27be6b6ac79be70b8fc754969f81a4fa2845a7d59ced20d16794a32c1b,2023-02-25 00:00:00,Metagov,Steward Compensation,-5500.0,-5500.0,USDC,1
0xa3e54b27be6b6ac79be70b8fc754969f81a4fa2845a7d59ced20d16794a32c1b,2023-02-25 00:00:00,Metagov,Steward Compensation,-1600.0,-1600.0,USDC,1
0xa3e54b27be6b6ac79be70b8fc754969f81a4fa2845a7d59ced20d16794a32c1b,2023-02-25 00:00:00,Metagov,Steward Compensation,-1600.0,-1600.0,USDC,1
0xdbdfbff8222b97847bd3eeb07293362a75e6841c62c94cec050ed948dda6e638,2023-03-07 19:24:23,DAO Wallet,Metagov,150.0,234244.50000000003,ETH,1
0x0f7980a9a9ac936c47d054c5446ccaa0b0feaeb8259d3dd3d81e213fbd287edb,2023-03-23 00:00:00,Metagov,Steward Compensation,-2500.0,-2500.0,USDC,1
0xcd9a3fac0d6a43919a7183ff3854f36737fd9a4a7ce3fcf4efe3ced9700c7228,2023-03-31 00:00:00,Metagov,Steward Compensation,-5500.0,-5500.0,USDC,1
0xcd9a3fac0d6a43919a7183ff3854f36737fd9a4a7ce3fcf4efe3ced9700c7228,2023-03-31 00:00:00,Metagov,Steward Compensation,-6500.0,-6500.0,USDC,1
0xcd9a3fac0d6a43919a7183ff3854f36737fd9a4a7ce3fcf4efe3ced9700c7228,2023-03-31 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0xcd9a3fac0d6a43919a7183ff3854f36737fd9a4a7ce3fcf4efe3ced9700c7228,2023-03-31 00:00:00,Metagov,Steward Compensation,-6667.0,-6667.0,USDC,1
0xcd9a3fac0d6a43919a7183ff3854f36737fd9a4a7ce3fcf4efe3ced9700c7228,2023-03-31 00:00:00,Metagov,Steward Compensation,-4300.0,-4300.0,USDC,1
0xcd9a3fac0d6a43919a7183ff3854f36737fd9a4a7ce3fcf4efe3ced9700c7228,2023-03-31 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0xcd9a3fac0d6a43919a7183ff3854f36737fd9a4a7ce3fcf4efe3ced9700c7228,2023-03-31 00:00:00,Metagov,Steward Compensation,-1600.0,-1600.0,USDC,1
0xcd9a3fac0d6a43919a7183ff3854f36737fd9a4a7ce3fcf4efe3ced9700c7228,2023-03-31 00:00:00,Metagov,Steward Compensation,-1600.0,-1600.0,USDC,1
0x39ccd2dad288ace14f48e4b00dbb9f5d072053356c92b744b0ef0c4556babbd0,2023-04-12 17:16:11,Metagov,Endowment Fees,-150.0,-287817.0,ETH,1
0x6a86f0e108c4c4104419172eefd56318acc754215da3fac7596bcf4b16a2677b,2023-04-25 00:00:00,Metagov,Discretionary,-6500.0,-6500.0,USDC,1
0xc4e59dc8b7d6d8777345b5f76e92a5d033dc162270bad4c5e09e87072585a8aa,2023-05-02 00:00:00,Metagov,Steward Compensation,-6667.0,-6667.0,USDC,1
0xc4e59dc8b7d6d8777345b5f76e92a5d033dc162270bad4c5e09e87072585a8aa,2023-05-02 00:00:00,Metagov,Steward Compensation,-5500.0,-5500.0,USDC,1
0xc4e59dc8b7d6d8777345b5f76e92a5d033dc162270bad4c5e09e87072585a8aa,2023-05-02 00:00:00,Metagov,Steward Compensation,-4300.0,-4300.0,USDC,1
0xc4e59dc8b7d6d8777345b5f76e92a5d033dc162270bad4c5e09e87072585a8aa,2023-05-02 00:00:00,Metagov,Steward Compensation,-6500.0,-6500.0,USDC,1
0xc4e59dc8b7d6d8777345b5f76e92a5d033dc162270bad4c5e09e87072585a8aa,2023-05-02 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0xc4e59dc8b7d6d8777345b5f76e92a5d033dc162270bad4c5e09e87072585a8aa,2023-05-02 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0xc4e59dc8b7d6d8777345b5f76e92a5d033dc162270bad4c5e09e87072585a8aa,2023-05-02 00:00:00,Metagov,Steward Compensation,-1600.0,-1600.0,USDC,1
0xc4e59dc8b7d6d8777345b5f76e92a5d033dc162270bad4c5e09e87072585a8aa,2023-05-02 00:00:00,Metagov,Steward Compensation,-1600.0,-1600.0,USDC,1
0xf03577647d4acd959fd3d28d05223fa84212fe21f049f9feb425f17f2337a579,2023-05-24 00:00:00,Discretionary,Metagov,4500.0,4500.0,USDC,1
0x3b7da98862025c392d687ec67db18ba49d18473b5f6902c6a8280d58f69be357,2023-05-29 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0x3b7da98862025c392d687ec67db18ba49d18473b5f6902c6a8280d58f69be357,2023-05-29 00:00:00,Metagov,Steward Compensation,-5500.0,-5500.0,USDC,1
0x3b7da98862025c392d687ec67db18ba49d18473b5f6902c6a8280d58f69be357,2023-05-29 00:00:00,Metagov,Steward Compensation,-1600.0,-1600.0,USDC,1
0x3b7da98862025c392d687ec67db18ba49d18473b5f6902c6a8280d58f69be357,2023-05-29 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
